config_key,config_label,model_name,ranking_mode,target_mode,user_id,true_position,target_label,top_candidate_label,target_candidate_rank,positive_candidate_rank,top_candidate_rank,top_score,target_score,prompt_token_count,IG:instruction,IG:history,IG:candidates,IG:question,IG:continuation,IG:other,ROLL:instruction,ROLL:history,ROLL:candidates,ROLL:question,ROLL:continuation,ROLL:other,ALTI:instruction,ALTI:history,ALTI:candidates,ALTI:question,ALTI:continuation,ALTI:other,CAM:instruction,CAM:history,CAM:candidates,CAM:question,CAM:continuation,CAM:other
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,6,F,J,6,6,1,0.12499988079071045,-0.7499998807907104,420,4.5406285781936075,45.820454323702826,39.52184261229246,10.117074485811107,0.0,0.0,0.04709843450609786,99.8083559871478,0.09241003750438624,0.05213554084170762,0.0,0.0,18.07881523334999,26.642966953647196,32.460412153863174,22.81780565913964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,6,J,J,1,6,1,0.12499988079071045,0.12499988079071045,420,6.354036570546846,42.16789637082482,37.85603634776324,13.622030710865099,0.0,0.0,0.04709843450609786,99.8083559871478,0.09241003750438624,0.05213554084170762,0.0,0.0,18.07881523334999,26.642966953647196,32.460412153863174,22.81780565913964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,8,H,J,10,10,1,0.25,-1.75,452,3.4983407564060576,38.81881286558861,48.82453369149089,8.85831268651444,0.0,0.0,0.048148024770656356,99.80243272426172,0.09771199256793862,0.05170725839969076,0.0,0.0,15.733692919199473,36.334187969412326,30.220322607245386,17.711796504142814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,8,J,J,1,10,1,0.25,0.25,452,6.235163121005384,36.554094706594604,45.019855969539826,12.190886202860188,0.0,0.0,0.048148024770656356,99.80243272426172,0.09771199256793862,0.05170725839969076,0.0,0.0,15.733692919199473,36.334187969412326,30.220322607245386,17.711796504142814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,1,A,A,1,1,1,0.0,0.0,442,4.1384569057458975,42.85018915093158,32.95597665786405,20.055377285458473,0.0,0.0,0.04910527074547186,99.80437689993703,0.09305074682182146,0.053467082495689426,0.0,0.0,17.258138420521774,19.43899517512309,31.61112859801691,31.69173780633822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,1046,1,A,A,1,1,1,0.0,0.0,442,4.1384569057458975,42.85018915093158,32.95597665786405,20.055377285458473,0.0,0.0,0.04910527074547186,99.80437689993703,0.09305074682182146,0.053467082495689426,0.0,0.0,17.258138420521774,19.43899517512309,31.61112859801691,31.69173780633822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1529,6,F,A,7,7,1,0.0,-1.0,437,6.44617427100713,50.60252475368158,29.343618993757627,13.607681981553672,0.0,0.0,0.05117774461408263,99.7998255694355,0.09506482159123769,0.05393186435918527,0.0,0.0,17.83386889391127,19.906945404804315,32.80307545353583,29.45611024774858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,1529,6,A,A,1,7,1,0.0,0.0,437,4.938780309639539,37.44342508927991,44.175878201961424,13.441916399119123,0.0,0.0,0.05117774461408263,99.7998255694355,0.09506482159123769,0.05393186435918527,0.0,0.0,17.83386889391127,19.906945404804315,32.80307545353583,29.45611024774858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,2201,7,G,A,2,2,1,0.125,-0.125,413,4.66412883158454,45.06087546163905,32.422305995576664,17.852689711199744,0.0,0.0,0.04739592410255184,99.80729085538718,0.09472179762545525,0.050591422884811936,0.0,0.0,16.02562220581633,23.583891552834757,29.763826362903217,30.6266598784457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,2201,7,A,A,1,2,1,0.125,0.125,413,4.66412883158454,45.06087546163905,32.422305995576664,17.852689711199744,0.0,0.0,0.04739592410255184,99.80729085538718,0.09472179762545525,0.050591422884811936,0.0,0.0,16.02562220581633,23.583891552834757,29.763826362903217,30.6266598784457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
